"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1"
10.475,6.73450E-4,0.03,-0.36
10.500,0.00120,0.01,-0.65
10.525,0.00122,-0.01,-0.63
10.550,5.45085E-4,-0.03,-0.30
10.575,-4.96693E-4,-0.03,0.17
10.600,-0.00119,-0.02,0.55
10.625,-0.00156,0.00,0.66
10.650,-0.00106,0.02,0.46
10.675,-1.96164E-4,0.03,0.03
10.700,6.73450E-4,0.02,-0.39
10.725,0.00121,0.01,-0.63
10.750,0.00105,-0.01,-0.57
10.775,3.68220E-4,-0.03,-0.26
10.800,-4.91866E-4,-0.03,0.20
10.825,-0.00137,-0.02,0.58
10.850,-0.00156,0.01,0.69
10.875,-0.00106,0.03,0.45
10.900,-2.41808E-5,0.03,-0.02
10.925,8.45439E-4,0.02,-0.47
10.950,0.00139,0.00,-0.68
10.975,0.00105,-0.02,-0.58
11.000,3.73065E-4,-0.03,-0.20
11.025,-6.68707E-4,-0.03,0.27
11.050,-0.00137,-0.01,0.61
11.075,-0.00157,0.01,0.66
11.100,-8.84095E-4,0.03,0.40
11.125,-2.41808E-5,0.03,-0.05
11.150,8.45439E-4,0.02,-0.48
11.175,0.00139,0.00,-0.70
11.200,0.00106,-0.02,-0.58
11.225,2.01044E-4,-0.03,-0.17
11.250,-8.40721E-4,-0.03,0.33
11.275,-0.00155,-0.01,0.67
11.300,-0.00157,0.01,0.68
11.325,-8.88913E-4,0.03,0.37
11.350,1.47802E-4,0.03,-0.12
11.375,0.00102,0.02,-0.54
11.400,0.00139,5.82E-4,-0.71
11.425,0.00106,-0.02,-0.55
11.450,2.01044E-4,-0.03,-0.12
11.475,-8.40721E-4,-0.03,0.37
11.500,-0.00155,-0.01,0.67
11.525,-0.00140,0.01,0.63
11.550,-7.12112E-4,0.03,0.30
11.575,1.47802E-4,0.03,-0.16
11.600,0.00103,0.02,-0.52
11.625,0.00121,0.00,-0.65
11.650,8.84272E-4,-0.02,-0.48
11.675,2.41856E-5,-0.03,-0.08
11.700,-8.40721E-4,-0.03,0.37
11.725,-0.00155,-0.01,0.65
11.750,-0.00140,0.01,0.61
11.775,-7.16934E-4,0.03,0.27
11.800,3.24627E-4,0.03,-0.20
11.825,0.00103,0.02,-0.56
11.850,0.00121,0.00,-0.66
11.875,8.89127E-4,-0.02,-0.46
11.900,-1.47832E-4,-0.03,-0.02
11.925,-0.00102,-0.02,0.44
11.950,-0.00155,-0.01,0.69
11.975,-0.00140,0.02,0.60
12.000,-5.44954E-4,0.03,0.20
12.025,4.96614E-4,0.03,-0.29
12.050,0.00120,0.01,-0.63
12.075,0.00122,-0.01,-0.67
12.100,7.17106E-4,-0.03,-0.38
12.125,-3.19849E-4,-0.03,0.09
