"Time (s) Monitor Run","Position (cm) Monitor Run","Velocity (m/s) Monitor Run","Acceleration (m/s²) Monitor Run"
6.600,0.0721949,-0.04,-0.27
6.625,-0.0663913,-0.04,0.23
6.650,-0.1710436,-0.03,0.64
6.675,-0.2245622,-0.01,0.84
6.700,-0.2092791,0.02,0.74
6.725,-0.1242492,0.04,0.40
6.750,-0.0033829,0.04,-0.06
6.775,0.1007753,0.03,-0.47
6.800,0.1715167,0.01,-0.72
6.825,0.1729770,-0.01,-0.72
6.850,0.1228314,-0.03,-0.48
6.875,0.0196190,-0.04,-0.10
6.900,-0.0845568,-0.03,0.31
6.925,-0.1543228,-0.02,0.60
6.950,-0.1911219,0.00,0.68
6.975,-0.1400054,0.02,0.54
7.000,-0.0721746,0.03,0.22
7.025,0.0314969,0.03,-0.17
7.050,0.1189453,0.02,-0.50
7.075,0.1548031,0.00,-0.64
7.100,0.1390611,-0.01,-0.56
7.125,0.0707404,-0.03,-0.28
7.150,-0.0152682,-0.03,0.08
7.175,-0.1027208,-0.02,0.37
7.200,-0.1380833,-0.01,0.52
7.225,-0.1390444,0.01,0.51
7.250,-0.1056082,0.02,0.34
7.275,-0.0372962,0.03,0.06
7.300,0.0496637,0.02,-0.25
7.325,0.1027167,0.01,-0.45
7.350,0.1032021,0.00,-0.47
7.375,0.0874570,-0.01,-0.33
7.400,0.0181677,-0.02,-0.11
7.425,-0.0334353,-0.02,0.12
7.450,-0.0855201,-0.01,0.33
7.475,-0.1213642,0.00,0.42
7.500,-0.1051270,0.01,0.36
7.525,-0.0535301,0.02,0.16
7.550,-0.0019332,0.02,-0.07
7.575,0.0506323,0.01,-0.24
7.600,0.0683167,0.00,-0.32
7.625,0.0688014,0.00,-0.31
7.650,0.0525698,-0.01,-0.20
7.675,9.6671734E-4,-0.02,-0.03
7.700,-0.0516010,-0.01,0.15
7.725,-0.0688014,-0.01,0.27
7.750,-0.0869649,9.22E-4,0.29
7.775,-0.0702472,0.01,0.22
7.800,-0.0363311,0.01,0.07
