Time (s) Monitor Run,Position (cm) Monitor Run,Velocity (m/s) Monitor Run,Acceleration (m/s²) Monitor Run
7.925,0.002039544,0.05,-0.83
7.95,0.002928909,0.01,-1.18
7.975,0.002786343,-0.02,-1.09
8,0.00159194,-0.05,-0.62
8.025,0.000043661,-0.06,0.04
8.05,-0.00151908,-0.05,0.65
8.075,-0.00258,-0.02,1.03
8.1,-0.002603992,0.01,1.04
8.125,-0.001758522,0.04,0.69
8.15,-0.000387584,0.05,0.1
8.175,0.001174757,0.05,-0.51
8.2,0.002231105,0.02,-0.92
8.225,0.002427596,-0.01,-0.98
8.25,0.001754198,-0.03,-0.69
8.275,0.000554892,-0.05,-0.18
8.3,-0.000830997,-0.04,0.37
8.325,-0.001882374,-0.02,0.78
8.35,-0.002250416,0,0.89
8.375,-0.001748893,0.03,0.69
8.4,-0.000721852,0.04,0.27
8.425,0.000486839,0.04,-0.23
8.45,0.001533357,0.03,-0.64
8.475,0.002073784,0,-0.83
8.5,0.001744426,-0.02,-0.71
8.525,0.000894078,-0.04,-0.34
8.55,-0.000314935,-0.04,0.14
8.575,-0.00136153,-0.03,0.55
8.6,-0.001896812,-0.01,0.75
8.625,-0.001739262,0.01,0.69
8.65,-0.001060975,0.03,0.4
8.675,-0.000029099,0.04,-0.02
8.7,0.001012517,0.03,-0.44
8.725,0.00172,0.01,-0.7
8.75,0.001739541,-0.01,-0.7
8.775,0.001056358,-0.03,-0.44
8.8,0.000201127,-0.03,-0.04
8.825,-0.000840666,-0.03,0.35
8.85,-0.001548,-0.01,0.6
8.875,-0.001557638,0.01,0.63
8.9,-0.001228129,0.02,0.45
8.925,-0.000368215,0.03,0.13
8.95,0.000496559,0.03,-0.22
8.975,0.001194251,0.02,-0.5
9,0.001557763,4.87E-04,-0.61
9.025,0.001223499,-0.02,-0.48
9.05,0.000540306,-0.03,-0.18
9.075,-0.000324624,-0.03,0.18
9.1,-0.00102717,-0.02,0.43
9.125,-0.001208826,0,0.51
9.15,-0.001046488,0.01,0.42
9.175,-0.000535359,0.02,0.19
9.2,0.000152586,0.02,-0.09
9.225,0.000855132,0.02,-0.33
9.25,0.001032,0,-0.44
9.275,0.001046614,-0.01,-0.38
9.3,0.000530583,-0.02,-0.2
9.325,0.000014552,-0.02,0.03
9.35,-0.000506319,-0.02,0.24
9.375,-0.00086,-0.01,0.36
9.4,-0.000869666,0.01,0.34
9.425,-0.000530519,0.01,0.2
9.45,-9.70E-06,0.02,0
9.475,0.000334286,0.01,-0.17
9.5,0.000688,0.01,-0.27
9.525,0.000692864,0,-0.27
9.55,0.000525722,-0.01,-0.19
9.575,0.000181708,-0.01,-0.04
9.6,-0.000162306,-0.01,0.11
9.625,-0.000516,-0.01,0.21
9.65,-0.00052084,9.85E-04,0.22
9.675,-0.000348843,0.01,0.16
9.7,-0.000181694,0.01,0.05
9.725,0.000167146,0.01,-0.07
9.75,0.000339143,0.01,-0.16
9.775,0.000520861,1.62E-04,-0.2
9.8,0.000348857,-0.01,-0.16
9.825,0.000181708,-0.01,-0.05
9.85,-0.000167153,-0.01,0.07
9.875,-0.000344,0,0.14
9.9,-0.000344,-9.69E-05,0.15
9.925,-0.000348843,0,0.11
9.95,-0.000176847,0.01,0.04
9.975,-4.85E-06,0.01,-0.04
10,0.000172,0,-0.09
10.025,0.000172,6.47E-05,-0.09
10.05,0.000176854,0,-0.05
10.075,0,0,0.01
10.1,0,0,0.03
10.125,0,0,0.02
10.15,0,0,0.01
10.175,0,0,0
10.2,0,0,0
10.225,0,0,0
10.25,0,0,0
10.275,0,0,0
10.3,0,0,0
10.325,0,0,0
10.35,0,0,0
10.375,0,0,0
10.4,0,0,0
10.425,0,0,0
10.45,0,0,0
10.475,0,0,0
10.5,0,0,0
10.525,0,0,0
10.55,0,0,0
10.575,0,0,0
10.6,0,0,0
10.625,0,0,0
10.65,0,0,0
10.675,0,0,0
10.7,0,0,0
10.725,0,0,0
10.75,0,0,0
10.775,0,0,0
10.8,0,0,0
10.825,0,0,0
10.85,0,0,0
10.875,0,0,0
10.9,0,0,0
10.925,0,0,0
10.95,0,0,0
10.975,0,0,0
11,0,0,0
11.025,0,0,0
11.05,0,0,0
11.075,0,0,0
