"Time (s) Monitor Run","Position (cm) Monitor Run","Velocity (m/s) Monitor Run","Acceleration (m/s²) Monitor Run"
10.325,0.0000000,0.00,0.00
10.350,0.0000000,0.00,0.00
10.375,0.0000000,0.00,0.00
10.400,0.0000000,0.00,0.00
10.425,0.0000000,0.00,0.00
10.450,0.0000000,0.00,0.00
10.475,0.0000000,0.00,0.00
10.500,0.0000000,0.00,0.00
10.525,0.0000000,0.00,0.00
10.550,0.0000000,0.00,0.00
10.575,0.0000000,0.00,-2.16E-4
10.600,0.0000000,0.00,0.01
10.625,0.0000000,-3.25E-5,0.02
10.650,0.0000000,0.00,0.02
10.675,-4.8675026E-4,0.00,-0.01
10.700,0.0172000,0.00,-0.05
10.725,0.0176871,0.00,-0.05
10.750,0.0000000,0.00,-0.01
10.775,0.0000000,0.00,0.02
10.800,0.0000000,0.00,0.02
10.825,0.0000000,0.00,0.01
10.850,0.0000000,0.00,-2.16E-4
10.875,0.0000000,0.00,0.01
10.900,0.0000000,-3.25E-5,0.02
10.925,0.0000000,0.00,0.02
10.950,-4.8675026E-4,0.00,-0.01
10.975,0.0172000,0.00,-0.05
11.000,0.0176871,0.00,-0.05
11.025,0.0000000,0.00,-0.01
11.050,0.0000000,0.00,0.02
11.075,0.0000000,0.00,0.02
11.100,0.0000000,0.00,0.01
11.125,0.0000000,0.00,-2.16E-4
11.150,0.0000000,0.00,0.01
11.175,0.0000000,-3.25E-5,0.02
11.200,0.0000000,0.00,0.02
11.225,-4.8675026E-4,0.00,-0.01
11.250,0.0172000,0.00,-0.05
11.275,0.0176871,0.00,-0.05
11.300,0.0000000,0.00,-0.01
11.325,0.0000000,0.00,0.02
11.350,0.0000000,0.00,0.02
11.375,0.0000000,0.00,0.01
11.400,0.0000000,0.00,0.00
11.425,0.0000000,0.00,0.00
11.450,0.0000000,0.00,0.00
11.475,0.0000000,0.00,0.00
11.500,0.0000000,0.00,0.00
11.525,0.0000000,0.00,0.00
11.550,0.0000000,0.00,0.00
11.575,0.0000000,0.00,0.00
11.600,0.0000000,0.00,0.00
11.625,0.0000000,0.00,0.00
11.650,0.0000000,0.00,0.00
11.675,0.0000000,0.00,0.00
11.700,0.0000000,0.00,0.00
11.725,0.0000000,0.00,0.00
11.750,0.0000000,0.00,0.00
11.775,0.0000000,0.00,0.00
11.800,0.0000000,0.00,0.00
11.825,0.0000000,0.00,0.00
11.850,0.0000000,0.00,0.00
11.875,0.0000000,0.00,0.00
11.900,0.0000000,0.00,0.00
11.925,0.0000000,0.00,0.00
11.950,0.0000000,0.00,0.00
11.975,0.0000000,0.00,0.00
12.000,0.0000000,0.00,0.00
12.025,0.0000000,0.00,0.00
12.050,0.0000000,0.00,0.00
12.075,0.0000000,0.00,0.00
12.100,0.0000000,0.00,0.00
12.125,0.0000000,0.00,0.00
12.150,0.0000000,0.00,0.00
12.175,0.0000000,0.00,0.00
12.200,0.0000000,0.00,0.00
12.225,0.0000000,0.00,0.00
12.250,0.0000000,0.00,0.00
12.275,0.0000000,0.00,0.00
12.300,0.0000000,0.00,0.00
12.325,0.0000000,0.00,0.00
12.350,0.0000000,0.00,0.00
12.375,0.0000000,0.00,
12.400,0.0000000,0.00,
12.425,0.0000000,,
