Time (s) Monitor Run,0,Velocity (m/s) Monitor Run,Acceleration (m/s²) Monitor Run
6.7,-0.003416004,-0.09,0.55
6.725,-0.004323906,-0.06,1.48
6.75,-0.003497572,0,1.83
6.775,-0.001448579,0.05,1.48
6.8,0.001145314,0.08,0.6
6.825,0.003238406,0.08,-0.48
6.85,0.00432477,0.05,-1.37
6.875,0.003494312,0,-1.73
6.9,0.001616599,-0.04,-1.43
6.925,-0.000801781,-0.08,-0.61
6.95,-0.002899952,-0.08,0.41
6.975,-0.003798375,-0.05,1.26
7,-0.003320813,-0.01,1.63
7.025,-0.001438905,0.04,1.39
7.05,0.000801396,0.07,0.63
7.075,0.002899372,0.08,-0.34
7.1,0.003798831,0.05,-1.17
7.125,0.003312405,0.01,-1.54
7.15,0.001783743,-0.04,-1.35
7.175,-0.000457699,-0.07,-0.67
7.2,-0.002555918,-0.07,0.26
7.225,-0.003449597,-0.05,1.08
7.25,-0.003139243,-0.01,1.48
7.275,-0.001606026,0.03,1.32
7.3,0.000462355,0.06,0.67
7.325,0.002378509,0.07,-0.2
7.35,0.003449873,0.05,-0.99
7.375,0.003135442,0.01,-1.4
7.4,0.001778838,-0.03,-1.28
7.425,-0.000295383,-0.06,-0.67
7.45,-0.002035039,-0.07,0.17
7.475,-0.003105611,-0.05,0.91
7.5,-0.002785683,-0.01,1.29
7.525,-0.001596357,0.02,1.18
7.55,0.000123299,0.05,0.66
7.575,0.001862571,0.06,-0.08
7.6,0.002928926,0.05,-0.78
7.625,0.002781539,0.02,-1.18
7.65,0.00176903,-0.02,-1.14
7.675,0.000043816,-0.05,-0.68
7.7,-0.001518977,-0.06,0.02
7.725,-0.00258,-0.05,0.69
7.75,-0.002608893,-0.02,1.1
7.775,-0.001591522,0.02,1.09
7.8,-0.000043801,0.04,0.66
7.825,0.00152351,0.05,-0.01
7.85,0.002408,0.04,-0.64
7.875,0.002432581,0.02,-1
7.9,0.001587195,-0.01,-0.98
7.925,0.000210975,-0.04,-0.61
7.95,-0.00117978,-0.05,-0.02
7.975,-0.002064,-0.04,0.54
8,-0.002083304,-0.02,0.89
8.025,-0.001409876,0.01,0.9
8.05,-0.000210907,0.03,0.6
8.075,0.001179544,0.04,0.07
8.1,0.002064,0.04,-0.48
8.125,0.002083637,0.02,-0.83
8.15,0.001405374,-0.01,-0.83
8.175,0.000378126,-0.03,-0.53
8.2,-0.000840597,-0.04,-0.07
8.225,-0.001543163,-0.03,0.4
8.25,-0.001734499,-0.02,0.7
8.275,-0.001233058,0.01,0.75
8.3,-0.000201181,0.03,0.52
8.325,0.000840462,0.04,0.1
8.35,0.001543102,0.03,-0.34
8.375,0.001734707,0.02,-0.64
8.4,0.001228461,-0.01,-0.69
8.425,0.00037325,-0.02,-0.47
8.45,-0.000673438,-0.03,-0.08
8.475,-0.001199156,-0.03,0.32
8.5,-0.001390519,-0.01,0.57
8.525,-0.0008794,0.01,0.6
8.55,-0.000196318,0.02,0.41
8.575,0.000668476,0.03,0.09
8.6,0.001376,0.03,-0.27
8.625,0.001385791,0.01,-0.52
8.65,0.001051555,0,-0.56
8.675,0.000368375,-0.02,-0.39
8.7,-0.000501427,-0.03,-0.07
8.725,-0.001032,-0.02,0.26
8.75,-0.001041694,-0.01,0.47
8.775,-0.000702561,0,0.48
8.8,-0.000191455,0.02,0.32
8.825,0.000501367,0.02,0.06
8.85,0.001032,0.02,-0.22
8.875,0.001041777,0.01,-0.4
8.9,0.000702645,0,-0.42
8.925,0.000186614,-0.01,-0.27
8.95,-0.000334278,-0.02,-0.04
8.975,-0.000683146,-0.02,0.18
9,-0.0008697,-0.01,0.32
9.025,-0.000525714,0,0.35
9.05,-0.000186592,0.01,0.25
9.075,0.000334251,0.02,0.07
9.1,0.000683119,0.02,-0.14
9.125,0.00086977,0.01,-0.29
9.15,0.000525756,0,-0.32
9.175,0.000181742,-0.01,-0.21
9.2,-0.000162271,-0.01,-0.04
9.225,-0.000516,-0.01,0.13
9.25,-0.000520857,-0.01,0.24
9.275,-0.000353721,0,0.24
9.3,-4.8675E-06,0.01,0.16
9.325,1.62E-04,0.01,0.03
9.35,0.000516,0.01,-0.1
9.375,0.000520878,0,-0.18
9.4,0.000348875,0,-0.18
9.425,0.000176871,-0.01,-0.12
9.45,4.8677E-06,-0.01,-0.03
9.475,-1.67E-04,-0.01,0.05
9.5,-0.000348861,0,0.12
9.525,-0.000176864,-1.30E-04,0.15
9.55,-4.8675E-06,0,0.12
9.575,1.67E-04,0.01,0.03
9.6,0.000344,0.01,-0.07
9.625,0.000348875,0,-0.12
9.65,0.000172,0,-0.1
9.675,0.000176871,0,-0.05
9.7,0,0,0.01
9.725,0,0,0.04
9.75,0,0,0.04
9.775,0,0,0.03
9.8,0,-3.25E-05,0.03
9.825,-4.8675E-06,0,0.03
9.85,1.72E-04,0,0.01
9.875,0.000172,0,-0.04
9.9,0.000176871,6.49E-05,-0.06
9.925,0,0,-0.04
9.95,0,0,0.01
9.975,0,0,0.03
10,0,0,0.02
10.025,0,0,0.02
10.05,0,-3.25E-05,0.02
10.075,-4.8675E-06,0,0.01
10.1,1.77E-04,0,-0.01
10.125,0,3.25E-05,-0.03
10.15,0,0,-0.02
10.175,0,0,0.01
10.2,0,0,0.02
10.225,0,0,0.01
10.25,0,0,0
10.275,0,0,0
10.3,0,0,0
10.325,0,0,0
10.35,0,0,0
10.375,0,0,0
10.4,0,0,0
10.425,0,0,0
10.45,0,0,0
10.475,0,0,0
10.5,0,0,0
10.525,0,0,0
10.55,0,0,0
10.575,0,0,0
10.6,0,0,0
10.625,0,0,0
10.65,0,0,0
10.675,0,0,0
10.7,0,0,0
10.725,0,0,0
10.75,0,0,0
10.775,0,0,0
10.8,0,0,0
10.825,0,0,0
10.85,0,0,0
10.875,0,0,0
10.9,0,0,0
10.925,0,0,0
10.95,0,0,0
10.975,0,0,0
11,0,0,0
11.025,0,0,0
11.05,0,0,0
11.075,0,0,0
11.1,0,0,0
11.125,0,0,0
11.15,0,0,0
11.175,0,0,0
11.2,0,0,0
11.225,0,0,0
11.25,0,0,0
11.275,0,0,0
11.3,0,0,0
11.325,0,0,0
11.35,0,0,0
11.375,0,0,0
11.4,0,0,0
11.425,0,0,0
11.45,0,0,0
11.475,0,0,0
11.5,0,0,0
11.525,0,0,0
11.55,0,0,0
11.575,0,0,0
11.6,0,0,0
11.625,0,0,0
11.65,0,0,0
11.675,0,0,0
11.7,0,0,0
11.725,0,0,0
11.75,0,0,0
11.775,0,0,0
11.8,0,0,0
11.825,0,0,0
11.85,0,0,0
